School,Nickname,City,State
Air Force,Falcons,Colorado Springs,Colorado
Akron,Zips,Akron,Ohio
Alabama,Crimson Tide,Tuscaloosa,Alabama
Appalachian State,Mountaineers,Boone,North Carolina
Arizona,Wildcats,Tucson,Arizona
Arizona State,Sun Devils,Tempe,Arizona
Arkansas,Razorbacks,Fayetteville,Arkansas
Arkansas State,Red Wolves,Jonesboro,Arkansas
Army,Black Knights,West Point,New York
Auburn,Tigers,Auburn,Alabama
Ball State,Cardinals,Muncie,Indiana
Baylor,Bears,Waco,Texas
Boise State,Broncos,Boise,Idaho
Boston College,Eagles,Chestnut Hill,Massachusetts
Bowling Green,Falcons,Bowling Green,Ohio
Buffalo,Bulls,Buffalo,New York
BYU,Cougars,Provo,Utah
California,Golden Bears,Berkeley,California
Campbell,Camels,Buies Creek,North Carolina
Central Michigan,Chippewas,Mount Pleasant,Michigan
Charlotte,49ers,Charlotte,North Carolina
Cincinnati,Bearcats,Cincinnati,Ohio
Clemson,Tigers,Clemson,South Carolina
Coastal Carolina,Chanticleers,Conway,South Carolina
Colorado,Buffaloes,Boulder,Colorado
Colorado State,Rams,Fort Collins,Colorado
Duke,Blue Devils,Durham,North Carolina
East Carolina,Pirates,Greenville,North Carolina
Eastern Michigan,Eagles,Ypsilanti,Michigan
Florida International,Panthers,Miami,Florida
Florida,Gators,Gainesville,Florida
Florida Atlantic,Owls,Boca Raton,Florida
Florida State,Seminoles,Tallahassee,Florida
Fresno State,Bulldogs,Fresno,California
Georgia,Bulldogs,Athens,Georgia
Georgia Southern,Eagles,Statesboro,Georgia
Georgia State,Panthers,Atlanta,Georgia
Georgia Tech,Yellow Jackets,Atlanta,Georgia
Grambling,Tigers,Grambling,Louisiana
Hawai'i,Rainbow Warriors,Honolulu,Hawai'i
Houston,Cougars,Houston,Texas
Idaho,Vandals,Moscow,Idaho
Illinois,Fighting Illini,Urbana–Champaign,Illinois
Indiana,Hoosiers,Bloomington,Indiana
Iowa,Hawkeyes,Iowa City,Iowa
Iowa State,Cyclones,Ames,Iowa
Kansas,Jayhawks,Lawrence,Kansas
Kansas State,Wildcats,Manhattan,Kansas
Kent State,Golden Flashes,Kent,Ohio
Kentucky,Wildcats,Lexington,Kentucky
Liberty,Flames,Lynchburg,Virginia
Louisiana,Ragin' Cajuns,Lafayette,Louisiana
Louisiana Monroe,Warhawks,Monroe,Louisiana
Louisiana Tech,Bulldogs,Ruston,Louisiana
Louisville,Cardinals,Louisville,Kentucky
LSU,Tigers,Baton Rouge,Louisiana
Marshall,Thundering Herd,Huntington,West Virginia
Maryland,Terrapins,College Park,Maryland
Memphis,Tigers,Memphis,Tennessee
Miami,Hurricanes,Coral Gables,Florida
Miami (OH),RedHawks,Oxford,Ohio
Michigan,Wolverines,Ann Arbor,Michigan
Michigan State,Spartans,East Lansing,Michigan
Middle Tennessee,Blue Raiders,Murfreesboro,Tennessee
Minnesota,Golden Gophers,Minneapolis,Minnesota
Mississippi State,Bulldogs,Starkville,Mississippi
Missouri,Tigers,Columbia,Missouri
Navy,Midshipmen,Annapolis,Maryland
NC State,Wolfpack,Raleigh,North Carolina
Nebraska,Cornhuskers,Lincoln,Nebraska
Nevada,Wolf Pack,Reno,Nevada
New Mexico,Lobos,Albuquerque,New Mexico
New Mexico State,Aggies,Las Cruces,New Mexico
North Carolina,Tar Heels,Chapel Hill,North Carolina
North Texas,Mean Green,Denton,Texas
Northern Illinois,Huskies,DeKalb,Illinois
Northwestern,Wildcats,Evanston,Illinois
Notre Dame,Fighting Irish,South Bend,Indiana
Ohio,Bobcats,Athens,Ohio
Ohio State,Buckeyes,Columbus,Ohio
Oklahoma,Sooners,Norman,Oklahoma
Oklahoma State,Cowboys,Stillwater,Oklahoma
Old Dominion,Monarchs,Norfolk,Virginia
Ole Miss,Rebels,Oxford,Mississippi
Oregon,Ducks,Eugene,Oregon
Oregon State,Beavers,Corvallis,Oregon
Penn State,Nittany Lions,University Park,Pennsylvania
Pittsburgh,Panthers,Pittsburgh,Pennsylvania
Purdue,Boilermakers,West Lafayette,Indiana
Rice,Owls,Houston,Texas
Rutgers,Scarlet Knights,Piscataway,New Jersey
San Diego State,Aztecs,San Diego,California
San Jose State,Spartans,San Jose,California
SMU,Mustangs,University Park,Texas
South Alabama,Jaguars,Mobile,Alabama
South Carolina,Gamecocks,Columbia,South Carolina
South Florida,Bulls,Tampa,Florida
Southern Mississippi,Golden Eagles,Hattiesburg,Mississippi
Stanford,Cardinal,Stanford,California
Syracuse,Orange,Syracuse,New York
TCU,Horned Frogs,Fort Worth,Texas
Temple,Owls,Philadelphia,Pennsylvania
Tennessee,Volunteers,Knoxville,Tennessee
Texas,Longhorns,Austin,Texas
Texas A&M,Aggies,College Station,Texas
Texas State,Bobcats,San Marcos,Texas
Texas Tech,Red Raiders,Lubbock,Texas
Toledo,Rockets,Toledo,Ohio
Troy,Trojans,Troy,Alabama
Tulane,Green Wave,New Orleans,Louisiana
Tulsa,Golden Hurricane,Tulsa,Oklahoma
UAB,Blazers,Birmingham,Alabama
UCF,Knights,Orlando,Florida
UCLA,Bruins,Los Angeles,California
Connecticut,Huskies,Storrs,Connecticut
UMass,Minutemen,Amherst,Massachusetts
UNLV,Rebels,Las Vegas,Nevada
USC,Trojans,Los Angeles,California
UTEP,Miners,El Paso,Texas
UT San Antonio,Roadrunners,San Antonio,Texas
Utah,Utes,Salt Lake City,Utah
Utah State,Aggies,Logan,Utah
Vanderbilt,Commodores,Nashville,Tennessee
Virginia,Cavaliers,Charlottesville,Virginia
Virginia Tech,Hokies,Blacksburg,Virginia
Wake Forest,Demon Deacons,Winston-Salem,North Carolina
Washington,Huskies,Seattle,Washington
Washington State,Cougars,Pullman,Washington
West Virginia,Mountaineers,Morgantown,West Virginia
Western Kentucky,Hilltoppers,Bowling Green,Kentucky
Western Michigan,Broncos,Kalamazoo,Michigan
Wisconsin,Badgers,Madison,Wisconsin
Wyoming,Cowboys,Laramie,Wyoming
